STOCK,SYMBOL,LINK
"COCA-COLA COMPANY, THE",,https://www.indmoney.com/us-stocks/ko/coca-cola-co-share-price
TARGET CORP,,https://www.indmoney.com/us-stocks/tgt/target-corp-share-price
CISCO SYSTEMS INC,,https://www.indmoney.com/us-stocks/csco/cisco-systems-inc-share-price
RIVIAN AUTOMOTIVE INC,,https://www.indmoney.com/us-stocks/rivn/rivian-automotive-inc-share-price
Li Auto Inc (LI),,https://www.indmoney.com/us-stocks/li/li-auto-inc-share-price
NIO Inc. (NIO),,https://www.indmoney.com/us-stocks/nio/nio-inc-share-price
"Olaplex Holdings, Inc. (OLPX)",,https://www.indmoney.com/us-stocks/olpx/olaplex-holdings-inc-share-price
Tenable Holdings Inc. (TENB),,https://www.indmoney.com/us-stocks/tenb/tenable-holdings-inc-share-price
"Applied Materials, Inc. (AMAT)",,https://www.indmoney.com/us-stocks/amat/applied-materials-inc-share-price
Affirm Holdings Inc (AFRM),,https://www.indmoney.com/us-stocks/afrm/affirm-holdings-inc-share-price
SHELL PLC - ADS (SHEL),,https://www.indmoney.com/us-stocks/shel/shell-plc-share-price
Altra Industrial Motion Corp (AIMC),,https://www.indmoney.com/us-stocks/aimc/altra-industrial-motion-corp-share-price
"Fiserv, Inc. (FISV)",,https://www.indmoney.com/us-stocks/fisv/fiserv-inc-share-price
"Roku, Inc. (ROKU)",,https://www.indmoney.com/us-stocks/roku/roku-inc-share-price
Datadog Inc (DDOG),,https://www.indmoney.com/us-stocks/ddog/datadog-inc-share-price
"Procter & Gamble Company, The (PG)",,https://www.indmoney.com/us-stocks/pg/procter-gamble-co-share-price
Exxon Mobil Corp. (XOM),,https://www.indmoney.com/us-stocks/xom/exxon-mobil-corp-share-price
"Medpace Holdings, Inc. (MEDP)",,https://www.indmoney.com/us-stocks/medp/medpace-holdings-inc-share-price
"Visa, Inc. (V)",,https://www.indmoney.com/us-stocks/v/visa-inc-share-price
Accenture plc (ACN),,https://www.indmoney.com/us-stocks/acn/accenture-plc-share-price
UnitedHealth Group Incorporated (UNH),,https://www.indmoney.com/us-stocks/unh/unitedhealth-group-inc-share-price
"Thermo Fisher Scientific, Inc. (TMO)",,https://www.indmoney.com/us-stocks/tmo/thermo-fisher-scientific-inc-share-price
Atlassian Corporation Plc (TEAM),,https://www.indmoney.com/us-stocks/team/atlassian-corporation-plc-share-price
Invesco S&P 500® Equal Weight Energy ETF (RYE),,https://www.indmoney.com/us-stocks/etf/rye/guggenheim-s-p-500-equal-wt-energy-etf-share-price
DoorDash (DASH),,https://www.indmoney.com/us-stocks/dash/doordash-inc-share-price
Starbucks Corporation (SBUX),,https://www.indmoney.com/us-stocks/sbux/starbucks-corp-share-price
